number,interest,title
400000,이혼,이혼 후 재산분할 미지급 시 대처 방안
400001,명예훼손/모욕 일반,직장 내 성추행 사건에 대한 고소 준비
400002,임대차,전세권 설정과 관련된 질문
400004,손해배상,"폭행사건 피해자, 민사소송 가능성에 대한 상담"
400008,폭행/협박/상해 일반,스토킹 및 협박 고소에 대한 우려와 대처 방안
400010,교통사고/도주,교통사고 책임보험 후미추돌 합의금에 대한 상담
400011,임대차,전세계약갱신 관련 자문 요청
400012,폭행/협박/상해 일반,폭행 관련 쌍방 성립 가능성에 대한 상담
400016,계약일반/매매,계약 체결 전 진행한 업무 보상 가능성에 대한 상담
400019,임대차,임대차보증금 반환 청구소송에 대한 질문
400023,디지털 성범죄,랜덤채팅에서의 문제 상황과 고소 가능성에 대한 걱정
400027,성폭력/강제추행 등,성범죄 초범 가해자의 처벌 수위에 대한 상담
400028,계약일반/매매,공실기간 동안 발생한 관리비 부담 문제와 구제방안
400026,기타 재산범죄,도난 후 조사와 범죄기록에 대한 질문
400033,대여금/채권추심,재산분할 소송 중 전 남편의 도주와 담보 제공에 대한 법적 효력
400034,형사일반/기타범죄,약식기소 죄목별 벌금 확인에 대한 상담
400037,형사일반/기타범죄,협박 및 스토킹 관련 처벌 및 절파에 대한 궁금증
400038,계약일반/매매,성공보수 지급 의무에 대한 고민
400041,교통사고/도주,교통사고 후 현장 합의와 뺑소니 여부에 대한 상담
400044,교통사고/도주,자전거 주행중 폭행 사건에 대한 상담
400045,사기/공갈,신용카드 대납과 보이스피싱 연관성에 대한 이슈 및 해결방안
400046,계약일반/매매,"채무불이행과 민사소송, 형사사기죄의 성립 여부 및 절차에 대한 궁금증"
400047,사기/공갈,"인스타그램에서 만난 사람으로부터 스캠 당한 경우, 돈을 돌려받을 수 있을까?"
400048,폭행/협박/상해 일반,폭행으로 인한 경찰서 연락 상담
400052,건축/부동산 일반,상가 누수 책임 문제: 임대인 vs 임차인
400054,미성년 대상 성범죄,미성년자 성매매 혐의와 관련한 조사 상황
400055,고소/소송절차,환전사기 경험 및 대처 방법
400056,성폭력/강제추행 등,성추행 당한 경험과 그 후의 과정에 대한 상담
400057,성폭력/강제추행 등,성추행 사건에 대한 상담 및 조치 방안
400059,기타 재산범죄,빌려준 돈을 돌려받지 못하는 상황에서의 조치 방법
400060,상속,아파트 지분 상속처분문제와 관련한 상담
400061,명예훼손/모욕 일반,교권침해와 징계관련 상담
400062,형사일반/기타범죄,잠정조치 위반에 대한 이해와 상담
400064,손해배상,사실혼 파기 후 관계자 만남 시 외도 인정 여부
400065,매매/소유권 등,오피스텔 계약해제 관련 상담 - 시정명령에 따른 절차와 가능성
400068,고소/소송절차,형사고소 후 합의와 취하에 따른 불이익 여부
400071,명예훼손/모욕 일반,명예훼손으로 인한 고소 대응 방법
400072,임대차,월세계약 묵시적갱신에 대한 상담
400076,대여금/채권추심,가족간 금액 반환 요구 시 민사소송 진행 방법
400077,손해배상,스토킹 형사 판결 후 민사소송 진행에 대한 질문
400079,횡령/배임,교육공무원의 횡령 및 사문서위조 혐의에 따른 불이익과 처벌 수위
400080,폭행/협박/상해 일반,폭행 및 상해죄로 고소당한 상황에 대한 대응 방안
